Source	Target	Weight
9606.ENSP00000364801	9606.ENSP00000364802	0.999238
9606.ENSP00000364802	9606.ENSP00000364801	0.999238
9606.ENSP00000272317	9606.ENSP00000388107	0.998675
9606.ENSP00000388107	9606.ENSP00000272317	0.998675
9606.ENSP00000349960	9606.ENSP00000458162	0.998643
9606.ENSP00000458162	9606.ENSP00000349960	0.998643
9606.ENSP00000365402	9606.ENSP00000399168	0.998625
9606.ENSP00000399168	9606.ENSP00000365402	0.998625
9606.ENSP00000379873	9606.ENSP00000399168	0.998152
9606.ENSP00000399168	9606.ENSP00000379873	0.998152
9606.ENSP00000365402	9606.ENSP00000379873	0.997868
9606.ENSP00000379873	9606.ENSP00000365402	0.997868
9606.ENSP00000278572	9606.ENSP00000362744	0.997469
9606.ENSP00000362744	9606.ENSP00000278572	0.997469
9606.ENSP00000393241	9606.ENSP00000470972	0.997308
9606.ENSP00000470972	9606.ENSP00000393241	0.997308
9606.ENSP00000341885	9606.ENSP00000362744	0.997264
9606.ENSP00000362744	9606.ENSP00000341885	0.997264
9606.ENSP00000222247	9606.ENSP00000309334	0.997229
9606.ENSP00000309334	9606.ENSP00000222247	0.997229
9606.ENSP00000346050	9606.ENSP00000362744	0.997000
9606.ENSP00000362744	9606.ENSP00000346050	0.997000
9606.ENSP00000222247	9606.ENSP00000416429	0.996830
9606.ENSP00000416429	9606.ENSP00000222247	0.996830
9606.ENSP00000222247	9606.ENSP00000225430	0.996817
9606.ENSP00000225430	9606.ENSP00000222247	0.996817
9606.ENSP00000373487	9606.ENSP00000449404	0.996672
9606.ENSP00000449404	9606.ENSP00000373487	0.996672
9606.ENSP00000339095	9606.ENSP00000400467	0.996081
9606.ENSP00000400467	9606.ENSP00000339095	0.996081
9606.ENSP00000385958	9606.ENSP00000393241	0.995834
9606.ENSP00000393241	9606.ENSP00000385958	0.995834
9606.ENSP00000259469	9606.ENSP00000416429	0.995832
9606.ENSP00000416429	9606.ENSP00000259469	0.995832
9606.ENSP00000278572	9606.ENSP00000341885	0.995781
9606.ENSP00000341885	9606.ENSP00000278572	0.995781
9606.ENSP00000335153	9606.ENSP00000360609	0.995581
9606.ENSP00000360609	9606.ENSP00000335153	0.995581
9606.ENSP00000346015	9606.ENSP00000375730	0.995113
9606.ENSP00000375730	9606.ENSP00000346015	0.995113
9606.ENSP00000296674	9606.ENSP00000363676	0.995097
9606.ENSP00000363676	9606.ENSP00000296674	0.995097
9606.ENSP00000225964	9606.ENSP00000297268	0.995020
9606.ENSP00000297268	9606.ENSP00000225964	0.995020
9606.ENSP00000362744	9606.ENSP00000379888	0.994815
9606.ENSP00000379888	9606.ENSP00000362744	0.994815
9606.ENSP00000225430	9606.ENSP00000309334	0.994769
9606.ENSP00000309334	9606.ENSP00000225430	0.994769
9606.ENSP00000222247	9606.ENSP00000413436	0.994579
9606.ENSP00000413436	9606.ENSP00000222247	0.994579
9606.ENSP00000225430	9606.ENSP00000416429	0.994464
9606.ENSP00000416429	9606.ENSP00000225430	0.994464
9606.ENSP00000217652	9606.ENSP00000463559	0.994270
9606.ENSP00000463559	9606.ENSP00000217652	0.994270
9606.ENSP00000307889	9606.ENSP00000379888	0.994241
9606.ENSP00000379888	9606.ENSP00000307889	0.994241
9606.ENSP00000307889	9606.ENSP00000393241	0.994205
9606.ENSP00000393241	9606.ENSP00000307889	0.994205
9606.ENSP00000369757	9606.ENSP00000389103	0.994075
9606.ENSP00000389103	9606.ENSP00000369757	0.994075
9606.ENSP00000362744	9606.ENSP00000363018	0.994028
9606.ENSP00000363018	9606.ENSP00000362744	0.994028
9606.ENSP00000262584	9606.ENSP00000362744	0.993974
9606.ENSP00000362744	9606.ENSP00000262584	0.993974
9606.ENSP00000361076	9606.ENSP00000362744	0.993964
9606.ENSP00000362744	9606.ENSP00000361076	0.993964
9606.ENSP00000393241	9606.ENSP00000435777	0.993883
9606.ENSP00000435777	9606.ENSP00000393241	0.993883
9606.ENSP00000225964	9606.ENSP00000304408	0.993841
9606.ENSP00000304408	9606.ENSP00000225964	0.993841
9606.ENSP00000251453	9606.ENSP00000464813	0.993742
